component,eigenvalue,explained_variance_ratio,cumulative_explained_variance,aspect_ratio_p_over_n,mp_lower,mp_upper,mp_density,above_mp_upper
1,73.4690467105373,0.12451651906989153,0.12451651906989153,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
2,41.60041458700478,0.07050505006069775,0.19502156913058927,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
3,31.4070008449336,0.05322908891201637,0.24825065804260565,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
4,28.092037406432894,0.04761083569263895,0.2958614937352446,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
5,21.462285182913718,0.036374625259407864,0.3322361189946525,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
6,19.556912994723827,0.03314536990591544,0.36538148890056793,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
7,17.09485527911139,0.028972634989331034,0.394354123889899,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
8,14.599117896543083,0.024742819232848153,0.41909694312274715,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
9,13.014168915998086,0.02205662227240044,0.4411535653951476,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
10,10.739446382396144,0.01820138602781018,0.4593549514229578,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
11,10.199032663589213,0.01728548418701764,0.47664043560997543,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
12,9.462969130888363,0.01603799190271865,0.4926784275126941,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
13,8.957404042726678,0.015181152080239685,0.5078595795929338,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
14,7.46573552489414,0.012653048344547512,0.5205126279374813,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
15,7.194516973933511,0.01219338279306903,0.5327060107305504,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
16,6.9760709922692286,0.011823157038693743,0.5445291677692441,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
17,6.38580990187818,0.010822773072811272,0.5553519408420554,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
18,5.99775292862843,0.010165087888733245,0.5655170287307887,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
19,5.9243631992644294,0.010040705797974796,0.5755577345287635,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
20,5.6193882147759195,0.00952382930137998,0.5850815638301434,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
21,5.322581325821781,0.009020796224142126,0.5941023600542855,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
22,5.07323475435046,0.008598199654406481,0.602700559708692,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
23,4.639595644648883,0.007863261134170274,0.6105638208428622,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
24,4.438487105236573,0.007522419155077881,0.6180862399979401,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
25,4.155686211650962,0.0070431236634966,0.6251293636614367,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
26,4.088639994171433,0.006929492658452451,0.6320588563198891,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
27,4.0189135671392915,0.0068113191912584385,0.6388701755111476,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
28,3.8018987896681162,0.006443519064711237,0.6453136945758587,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
29,3.740335608392713,0.006339180797393248,0.651652875373252,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
30,3.5852405355983894,0.0060763231797447146,0.6577291985529967,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
31,3.3635788916435994,0.005700647469328813,0.6634298460223256,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
32,3.246428754571875,0.005502099537514699,0.6689319455598403,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
33,3.1586767005439356,0.005353375948493025,0.6742853215083333,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
34,3.099376890287747,0.005252873678690924,0.6795381951870242,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
35,3.017056910249185,0.005113356455816238,0.6846515516428404,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
36,2.9288164223388775,0.004963805061214511,0.6896153567040549,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
37,2.7533213003860464,0.004666373112962778,0.6942817298170177,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
38,2.621800334466398,0.004443469269857983,0.6987251990868757,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
39,2.5409604504359793,0.004306460537443904,0.7030316596243196,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
40,2.4346811821673664,0.004126336728484711,0.7071579963528043,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
41,2.378408470681175,0.004030964834243434,0.7111889611870478,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
42,2.2482554260234595,0.003810379366039686,0.7149993405530874,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
43,2.1859168029000013,0.0037047268674367667,0.7187040674205242,0.03476937485366425,0.6618384168806676,1.4077003328266608,0.0,True
